FID,OBJECTID,community,area_numbe,HS_Grad,BD,Unemployed,Diabetes_r,Lung_Cance,Childhood1,Childhood_,Obesity,Firearm_re,Inequ_inco,Inactivity,EBLL,Shape_Leng,Shape_Le_1,Shape_Area,Shape__Are,Shape__Len,Year_count
11,11,JEFFERSON PARK,11,0.866000000000000,0.307000000000000,0.102000000000000,49.200000000000000,55.700000000000000,0.200000000000000,236.800000000000000,0.245000000000000,4.200000000000000,66.000000000000000,0.224000000000000,0.002000000000000,13410.158100500000000,0,6022237.970750000000000,10911093.503906300000000,17978.604898680400000,1372
12,12,FOREST GLEN,12,0.945000000000000,0.585000000000000,0.061000000000000,37.200000000000000,27.000000000000000,0.000000000000000,160.800000000000000,0.217000000000000,6.200000000000000,60.899999999999900,0.180000000000000,0.003000000000000,22697.730790099900000,0,8274696.336239990000000,14998569.503906300000000,30450.333129319500000,589
13,13,NORTH PARK,13,0.884000000000000,0.454000000000000,0.091000000000000,58.899999999999900,34.700000000000000,0.400000000000000,317.300000000000000,0.216000000000000,3.100000000000000,65.099999999999900,0.232000000000000,0.009000000000000,12669.617646099900000,0,6525331.184539990000000,11832732.996093800000000,16996.078442403700000,1379
14,14,ALBANY PARK,14,0.759000000000000,0.303000000000000,0.091000000000000,72.099999999999900,36.899999999999900,1.200000000000000,374.100000000000000,0.267000000000000,5.300000000000000,64.200000000000000,0.270000000000000,0.007000000000000,11986.210722699900000,0,4970648.800630000000000,9021629.996093750000000,16095.377857928200000,3427
15,15,PORTAGE PARK,15,0.828000000000000,0.246000000000000,0.093000000000000,48.200000000000000,44.899999999999900,0.500000000000000,287.300000000000000,0.275000000000000,4.700000000000000,64.000000000000000,0.252000000000000,0.006000000000000,14174.512725099900000,0,10230362.674799900000000,18528110.496093700000000,19065.592319825100000,4949
16,16,IRVING PARK,16,0.802000000000000,0.353000000000000,0.068000000000000,60.200000000000000,41.299999999999900,0.600000000000000,333.500000000000000,0.276000000000000,5.700000000000000,64.000000000000000,0.252000000000000,0.005000000000000,14955.181038200000000,0,8319173.245339990000000,15061813.492187500000000,20102.807960078000000,4592
17,17,DUNNING,17,0.865000000000000,0.236000000000000,0.072000000000000,42.500000000000000,53.899999999999900,0.100000000000000,233.900000000000000,0.260000000000000,5.200000000000000,63.700000000000000,0.239000000000000,0.001000000000000,16622.994496300000000,0,9617716.436109990000000,17413240.503906200000000,22356.817345193600000,2222
18,18,MONTCLARE,18,0.776000000000000,0.154000000000000,0.108000000000000,89.599999999999900,33.399999999999900,0.900000000000000,315.500000000000000,0.297000000000000,6.500000000000000,63.100000000000000,0.286000000000000,0.002000000000000,6826.653263729990000,0,2560171.673080000000000,4646257.996093750000000,9163.844396581900000,1075
19,19,BELMONT CRAGIN,19,0.628000000000000,0.122000000000000,0.123000000000000,58.600000000000000,37.799999999999900,0.800000000000000,421.500000000000000,0.326000000000000,5.500000000000000,60.600000000000000,0.327000000000000,0.007000000000000,13196.777468700000000,0,10128559.056800000000000,18295750.003906200000000,17713.694883322000000,7254
20,20,WEST RIDGE,2,0.828000000000000,0.393000000000000,0.088000000000000,60.500000000000000,36.000000000000000,1.000000000000000,331.399999999999000,0.252000000000000,3.700000000000000,63.700000000000000,0.259000000000000,0.011000000000000,13107.897327500000000,0,9137658.140839990000000,16565792.007812500000000,17636.505416674400000,4386
21,21,HERMOSA,20,0.578000000000000,0.111000000000000,0.096000000000000,63.600000000000000,27.699999999999900,0.700000000000000,394.699999999999000,0.336000000000000,11.800000000000000,59.399999999999900,0.335000000000000,0.003000000000000,8281.200794410000000,0,3026664.271470000000000,5481028.996093750000000,11140.052708598500000,2422
22,22,AVONDALE,21,0.723000000000000,0.265000000000000,0.078000000000000,52.700000000000000,32.500000000000000,0.700000000000000,373.300000000000000,0.300000000000000,4.600000000000000,61.100000000000000,0.280000000000000,0.006000000000000,10439.247915100000000,0,5132936.209680000000000,9294767.000000000000000,14013.738817140000000,4289
23,23,LOGAN SQUARE,22,0.868000000000000,0.473000000000000,0.061000000000000,75.700000000000000,37.700000000000000,0.900000000000000,364.399999999999000,0.276000000000000,10.199999999999900,66.000000000000000,0.227000000000000,0.005000000000000,14994.763007800000000,0,9288854.881950000000000,16787204.503906200000000,20098.332659877200000,10402
24,24,HUMBOLDT PARK,23,0.691000000000000,0.127000000000000,0.174000000000000,94.099999999999900,48.000000000000000,1.300000000000000,447.699999999999000,0.386000000000000,22.699999999999900,55.899999999999900,0.358000000000000,0.011000000000000,14802.765653599900000,0,9328244.684560000000000,16862873.996093700000000,19857.682212999400000,10424
25,25,WEST TOWN,24,0.888000000000000,0.624000000000000,0.063000000000000,107.000000000000000,27.399999999999900,0.500000000000000,316.600000000000000,0.244000000000000,6.600000000000000,65.400000000000000,0.181000000000000,0.006000000000000,16819.848609199900000,0,11842194.028100000000000,21396273.007812500000000,22557.871120597900000,13276
26,26,AUSTIN,25,0.771000000000000,0.124000000000000,0.195000000000000,113.900000000000000,74.599999999999900,2.000000000000000,492.300000000000000,0.417000000000000,28.500000000000000,56.600000000000000,0.358000000000000,0.016000000000000,22921.002559799900000,0,18498319.925200000000000,33428556.007812500000000,30778.651610679200000,18304
27,27,WEST GARFIELD PARK,26,0.724000000000000,0.040000000000000,0.178000000000000,118.200000000000000,65.299999999999900,1.400000000000000,516.100000000000000,0.452000000000000,36.000000000000000,48.500000000000000,0.402000000000000,0.006000000000000,7994.639712959990000,0,3350730.606759990000000,6054845.503906250000000,10742.946770013100000,4498
28,28,EAST GARFIELD PARK,27,0.784000000000000,0.127000000000000,0.203000000000000,97.299999999999900,56.299999999999900,0.900000000000000,503.699999999999000,0.438000000000000,37.100000000000000,50.500000000000000,0.376000000000000,0.009000000000000,9602.158369770000000,0,5002269.903130000000000,9042888.500000000000000,12855.702362553300000,4888
29,29,NEAR WEST SIDE,28,0.918000000000000,0.659000000000000,0.100000000000000,62.299999999999900,66.200000000000000,0.500000000000000,396.699999999999000,0.256000000000000,9.300000000000000,66.400000000000000,0.204000000000000,0.004000000000000,16149.454867899900000,0,14713428.324999900000000,26571514.503906200000000,21640.789359381600000,11869
30,30,NORTH LAWNDALE,29,0.736000000000000,0.109000000000000,0.234000000000000,99.200000000000000,61.700000000000000,1.400000000000000,565.700000000000000,0.444000000000000,37.600000000000000,47.799999999999900,0.394000000000000,0.009000000000000,13698.687428799900000,0,8307642.494479990000000,14987964.496093800000000,18368.729753722200000,8696
31,31,UPTOWN,3,0.893000000000000,0.551000000000000,0.098000000000000,80.000000000000000,50.500000000000000,0.500000000000000,353.699999999999000,0.266000000000000,4.600000000000000,64.500000000000000,0.218000000000000,0.006000000000000,14311.915691599900000,0,6043042.934369990000000,10957893.011718700000000,19145.404205631900000,6306
32,32,SOUTH LAWNDALE,30,0.493000000000000,0.058000000000000,0.132000000000000,65.000000000000000,15.900000000000000,0.800000000000000,605.899999999999000,0.382000000000000,8.600000000000000,52.500000000000000,0.396000000000000,0.010000000000000,15205.242647299900000,0,11882815.954600000000000,21459550.503906200000000,20415.122072678400000,6773
33,33,LOWER WEST SIDE,31,0.649000000000000,0.231000000000000,0.114000000000000,61.899999999999900,27.800000000000000,0.800000000000000,589.000000000000000,0.332000000000000,11.699999999999900,57.500000000000000,0.324000000000000,0.004000000000000,13171.396190999900000,0,7570662.206229990000000,13668372.480468800000000,17667.084245502700000,4346
34,34,NEAR SOUTH SIDE,33,0.936000000000000,0.703000000000000,0.038000000000000,61.500000000000000,46.200000000000000,0.200000000000000,301.300000000000000,0.231000000000000,6.600000000000000,65.099999999999900,0.163000000000000,0.000000000000000,13726.929456199900000,0,4620205.212059990000000,8344151.511718750000000,18278.166026096400000,3054
35,35,ARMOUR SQUARE,34,0.656000000000000,0.213000000000000,0.154000000000000,42.500000000000000,54.299999999999900,0.200000000000000,490.300000000000000,0.205000000000000,1.800000000000000,52.700000000000000,0.407000000000000,0.002000000000000,9734.228916569990000,0,2577601.841829990000000,4653878.000000000000000,13060.622541364000000,1541
36,36,NORWOOD PARK,10,0.922000000000000,0.352000000000000,0.072000000000000,47.299999999999900,44.500000000000000,0.000000000000000,163.099999999999000,0.235000000000000,8.699999999999990,64.700000000000000,0.210000000000000,0.000000000000000,24487.935334000000000,0,11322618.219299900000000,20521306.500000000000000,32925.117308494000000,1575
37,37,NEAR NORTH SIDE,8,0.976000000000000,0.790000000000000,0.063000000000000,27.000000000000000,33.600000000000000,0.100000000000000,311.199999999999000,0.209000000000000,3.200000000000000,64.900000000000000,0.145000000000000,0.001000000000000,17456.283976300000000,0,7118003.341570000000000,12851981.007812500000000,23320.441346497200000,13990
38,38,LOOP,32,0.982000000000000,0.788000000000000,0.053000000000000,26.800000000000000,29.199999999999900,0.300000000000000,297.300000000000000,0.188000000000000,4.000000000000000,63.500000000000000,0.134000000000000,0.008000000000000,12013.252708699900000,0,4301423.448060000000000,7771016.992187500000000,15996.014668051200000,8642
39,39,SOUTH SHORE,43,0.866000000000000,0.220000000000000,0.222000000000000,95.400000000000000,70.000000000000000,1.100000000000000,470.300000000000000,0.415000000000000,30.000000000000000,52.899999999999900,32.840000000000000,0.004000000000000,13481.962569999900000,0,7594657.399810000000000,13665738.980468700000000,17956.545615638500000,11932
40,40,CHATHAM,44,0.865000000000000,0.224000000000000,0.203000000000000,73.200000000000000,51.500000000000000,0.500000000000000,418.300000000000000,0.396000000000000,37.899999999999900,56.600000000000000,0.313000000000000,0.004000000000000,12798.793328800000000,0,7641960.258709990000000,13732849.507812500000000,17144.988947072800000,7626
41,41,AVALON PARK,45,0.885000000000000,0.221000000000000,0.223000000000000,83.900000000000000,57.899999999999900,0.600000000000000,434.800000000000000,0.382000000000000,18.500000000000000,62.500000000000000,0.290000000000000,0.022000000000000,8418.578050149990000,0,3235392.223979990000000,5809243.000000000000000,11284.803882076400000,1816
42,42,SOUTH CHICAGO,46,0.771000000000000,0.160000000000000,0.218000000000000,86.900000000000000,50.899999999999900,1.600000000000000,493.399999999999000,0.410000000000000,33.700000000000000,54.399999999999900,0.361000000000000,0.010000000000000,15976.102770800000000,0,8658353.316409990000000,15586104.007812500000000,21319.418461313300000,6403
43,43,BURNSIDE,47,0.788000000000000,0.085000000000000,0.215000000000000,86.099999999999900,69.500000000000000,3.600000000000000,375.000000000000000,0.422000000000000,70.299999999999900,53.000000000000000,0.357000000000000,0.024000000000000,5526.295337059990000,0,1577750.490010000000000,2841446.988281250000000,7408.360115473960000,520
44,44,CALUMET HEIGHTS,48,0.885000000000000,0.274000000000000,0.169000000000000,81.400000000000000,48.000000000000000,0.300000000000000,383.199999999999000,0.370000000000000,24.500000000000000,62.399999999999900,0.279000000000000,0.003000000000000,10031.691335499900000,0,4532529.506120000000000,8155741.503906250000000,13436.927156001400000,2077
45,45,ROSELAND,49,0.842000000000000,0.198000000000000,0.253000000000000,95.500000000000000,70.299999999999900,1.900000000000000,369.500000000000000,0.405000000000000,37.700000000000000,59.799999999999900,0.327000000000000,0.014000000000000,17255.073512399900000,0,12468599.090500000000000,22401767.992187500000000,23120.115874751900000,9389
46,46,NORTH CENTER,5,0.933000000000000,0.681000000000000,0.042000000000000,49.799999999999900,42.399999999999900,0.900000000000000,178.099999999999000,0.213000000000000,1.000000000000000,61.600000000000000,0.141000000000000,0.001000000000000,9564.648312499990000,0,5296593.106230000000000,9573861.000000000000000,12816.104718406400000,2831
47,47,PULLMAN,50,0.874000000000000,0.216000000000000,0.194000000000000,78.500000000000000,83.799999999999900,3.700000000000000,398.500000000000000,0.383000000000000,32.100000000000000,57.600000000000000,0.302000000000000,0.004000000000000,10838.155506099900000,0,5477165.108300000000000,9836653.003906250000000,14532.280498287800000,1338
